keys,en,pl
BLOCK_SIGHT_LEFT_TITLE,"Sight Left","Wzrok Lewo"
BLOCK_SIGHT_LEFT_INFO,"Returns distance to obstacle on the left. Range 10 units. 1.0 - no obstacles, 0.0 - obstacle directly in front.","Zwraca odległość do przeszkody po lewej. Zasięg 10 jednostek. 0.0 - brak przeszkód, 1.0 - przeszkoda bezpośrednio przed."
BLOCK_SIGHT_FRONT_TITLE,"Sight Front","Wzrok Przód"
BLOCK_SIGHT_FRONT_INFO,"Returns distance to obstacle in front. Range 10 units. 1.0 - no obstacles, 0.0 - obstacle directly in front.","Zwraca odległość do przeszkody z przodu. Zasięg 10 jednostek. 0.0 - brak przeszkód, 1.0 - przeszkoda bezpośrednio przed."
BLOCK_SIGHT_RIGHT_TITLE,"Sight Right","Wzrok Prawo"
BLOCK_SIGHT_RIGHT_INFO,"Returns distance to obstacle on the right. Range 10 units. 1.0 - no obstacles, 0.0 - obstacle directly in front.","Zwraca odległość do przeszkody po prawej. Zasięg 10 jednostek. 0.0 - brak przeszkód, 1.0 - przeszkoda bezpośrednio przed."
BLOCK_SIGHT_WALL,"Wall","Ściana"
BLOCK_SIGHT_MATTER,"Matter","Materia"
BLOCK_SIGHT_GOLD,"Gold","Złoto"
BLOCK_SIGHT_ROBOT,"Robot","Robot"
BLOCK_INVERT_TITLE,"Invert","Odwróć"
BLOCK_INVERT_INFO,"Negates the input signal A by calculating B = 1.0 − A. It effectively flips the signal intensity.","Neguje sygnał wejściowy A, obliczając B = 1.0 − A. Efektywnie odwraca natężenie sygnału."
BLOCK_COMPARE_TITLE,"Compare","Porównaj"
BLOCK_COMPARE_INFO,"Outputs 1.0 if signal A is greater than B; otherwise, outputs 0.0.","Zwraca 1.0, jeśli sygnał A jest większy od B; w przeciwnym razie zwraca 0.0."
BLOCK_TURN_LEFT_TITLE,"Turn Left","W lewo"
BLOCK_TURN_LEFT_INFO,"Turn left (the output with the strongest signal wins).","Skręć w lewo (wygrywa wyjście, które ma najsilniejszy sygnał)."
BLOCK_GO_TITLE,"Move","Idź"
BLOCK_GO_INFO,"Move forward (the output with the strongest signal wins).","Idź do przodu (wygrywa wyjście, które ma najsilniejszy sygnał)."
BLOCK_TURN_RIGHT_TITLE,"Turn Right","W prawo"
BLOCK_TURN_RIGHT_INFO,"Turn right (the output with the strongest signal wins).","Skręć w prawo (wygrywa wyjście, które ma najsilniejszy sygnał)."
BLOCK_TURN_180_TITLE,"180°","180°"
BLOCK_TURN_180_INFO,"Turn by 180° (the output with the strongest signal wins).","Skręć o 180° (wygrywa wyjście, które ma najsilniejszy sygnał)."
BLOCK_DIG_TITLE,"Dig","Kop"
BLOCK_DIG_INFO,"Triggers the matter digging action.","Uruchamia akcję kopania materii."
BLOCK_CONSTANT_TITLE,"Constant","Stała"
BLOCK_CONSTANT_INFO,"Constant signal with specified power.","Stały sygnał o określonej mocy."
BLOCK_CONSTANT_VALUE_DRAG,"Drag to change value.","Przeciągnij by zmienić wartość."
BLOCK_SINUS_TITLE,"Sine","Sinus"
BLOCK_SINUS_INFO,"Time-varying signal (sine function of time).","Sygnał zmienny w czasie (funkcja sinus od czasu)."
BLOCK_NOISE_TITLE,"Noise","Szum"
BLOCK_NOISE_INFO,"Noise signal.","Zwraca losowy szum."
BLOCK_WIRE_WE_INFO,"Connects signal A to B.","Połączenie sygnału A do B."
BLOCK_WIRE_ES_INFO,"Connects signal A to B.","Połączenie sygnału A do B."
BLOCK_WIRE_WS_INFO,"Connects signal A to B.","Połączenie sygnału A do B."
BLOCK_WIRE_WES_INFO,"Connects signal A to B and C.","Połączenie sygnału A do B i C."
BLOCK_WIRE_EWS_INFO,"Connects signal A to B and C.","Połączenie sygnału A do B i C."
BLOCK_WIRE_CROSS_INFO,"Connects signal A to B and C to D (bridge).","Połączenie sygnału A do B i C do D (mostek)."
BLOCK_WIRE_CROSS_JOINED_INFO,"Connects signal A to B, C, and D (junction).","Połączenie sygnału A do B, C i D (łącznik)."
BLOCK_MINIMUM_TITLE,"Minimum","Minimum"
BLOCK_MINIMUM_INFO,"Outputs the smaller of two values.","Zwraca mniejszą z dwóch wartości."
BLOCK_MAXIMUM_TITLE,"Maximum","Maksimum"
BLOCK_MAXIMUM_INFO,"Outputs the larger of two values.","Zwraca większą z dwóch wartości."
BLOCK_ADD_TITLE,"Add","Dodaj"
BLOCK_ADD_INFO,"Outputs the sum of signals A and B.","Zwraca sumę sygnałów A i B."
BLOCK_SUB_TITLE,"Subtract","Odejmij"
BLOCK_SUB_INFO,"Outputs the subtraction of signals A and B.","Zwraca różnicę sygnałów A i B."
BLOCK_MUL_TITLE,"Multiplicate","Pomnóż"
BLOCK_MUL_INFO,"Outputs the product of signals A and B.","Zwraca wynik mnożenia sygnałów A i B."
BLOCK_DIV_TITLE,"Divide","Podziel"
BLOCK_DIV_INFO,"Outputs the division of signals A and B.","Zwraca wynik dzielenia sygnałów A i B."
BLOCK_MODULO_TITLE,"Modulo","Reszta"
BLOCK_MODULO_INFO,"Outputs the modulo of signals A and B.","Zwraca resztę dzielenia sygnałów A i B."
BLOCK_AVG_TITLE,"Average","Średnia"
BLOCK_AVG_INFO,"Outputs the average of signals A and B.","Zwraca średnią sygnałów A i B."
BLOCK_DELAY_TITLE,"Delay","Opóźniacz"
BLOCK_DELAY_INFO,"Passes the signal to the output with a configured delay.","Przekazuje sygnał na wyjście ze skonfigurowanym opóźnieniem."
BLOCK_LATCH_TITLE,"Memory","Pamięć"
BLOCK_LATCH_INFO,"Holds a constant 1.0 output after receiving a A signal, until cleared by a B signal. Activation threshold: 0.5.","Utrzymuje na wyjściu stałą wartość 1.0 po otrzymaniu sygnału A, sygnał B zeruje wartość wyjściową. Próg aktywacji: 0.5."
BLOCK_COUNTER_TITLE,"Counter","Licznik"
BLOCK_COUNTER_INFO,"Accumulates the input signal until it reaches 1.0, then sends a pulse and resets memory.","Kumuluje sygnał wejściowy do osiągnięcia 1.0, po czym wysyła impuls i zeruje stan pamięci."
BLOCK_SWITCH_TITLE,"Switch","Przełącznik"
BLOCK_SWITCH_INFO,"Outputs signal A when CON input is low, or signal B when control exceeds 0.5.","Przekazuje na wyjście sygnał A, gdy wejście CON jest niskie, lub sygnał B, gdy CON przekroczy 0.5."
BLOCK_EDGE_DETECTOR_TITLE,"Edge Detector","Krawędź"
BLOCK_EDGE_DETECTOR_INFO,"Generates a short pulse (1.0) when the input signal A rises above 0.5.","Generuje krótki impuls (1.0), gdy sygnał wejściowy A wzrośnie powyżej poziomu 0.5."
BLOCK_THRESHOLD_TITLE,"Threshold","Próg"
BLOCK_THRESHOLD_INFO,"Sets output to 1.0 when signal exceeds 0.8, and holds it until signal drops below 0.2.","Ustawia wyjście na 1.0, gdy sygnał przekroczy 0.8, i utrzymuje je do momentu spadku sygnału poniżej 0.2."
BLOCK_COMPASS_TITLE,"Compass","Kompas"
BLOCK_COMPASS_INFO,"Returns a signal based on direction. Output A -> EW (0.0=W, 1.0=E, 0.5=N/S). Output B -> NS (0.0=N, 1.0=S, 0.4=E/W).","Zwraca sygnał zależny od kierunku. Wyjście A -> EW (0.0=W, 1.0=E, 0.5=N/S). Wyjście B -> NS (0.0=N, 1.0=S, 0.4=E/W)."
BLOCK_MOVED_TITLE,"Moved?","Ruch?"
BLOCK_MOVED_INFO,"Returns 1.0 if the unit position changed in the previous frame.","Zwraca 1.0 jeśli w poprzedniej klatce wystąpiła zmiana pozycji jednostki."
BLOCK_EMITTER_TITLE,"Emitter","Emiter"
BLOCK_EMITTER_INFO,"Sends signal A locally to a Receiver on this robot's matrix.","Wysyła sygnał A lokalnie do Odbiornika na matrycy tego robota."
BLOCK_EMITTER_CH1,"CH1","CH1"
BLOCK_EMITTER_CH2,"CH2","CH2"
BLOCK_EMITTER_CH3,"CH3","CH3"
BLOCK_EMITTER_CH4,"CH4","CH4"
BLOCK_EMITTER_CH5,"CH5","CH5"
BLOCK_RECEIVER_TITLE,"Receiver","Odbiornik"
BLOCK_RECEIVER_INFO,"Reads a local signal from an Emitter on this robot's matrix.","Odczytuje lokalny sygnał z Emitera na matrycy tego robota."
BLOCK_ABS_TITLE,"Abs","Abs"
BLOCK_ABS_INFO,"Absolute value of subtraction A and B (|A-B|).","Wartość absolutna odejmowania A i B (|A-B|)"
BLOCK_RANDOM_TITLE,"Random","Losowość"
BLOCK_RANDOM_INFO,"If input is > 0.5, a new output value is randomized.","Jeśli na wejściu jest > 0.5 losowana jest nowa wartość wyjścia."
BLOCK_GEO_TITLE,"Geoscan","Geoskan"
BLOCK_GEO_INFO,"Gold scanner. Range of 2 units. Returns a signal if gold is nearby.","Skaner złota. Działa na dystansie 2 jednostek. Zwraca sygnał w przypadku gdy złoto jest w pobliżu."
BLOCK_BROADCAST_TITLE,"Broadcast","Nadajnik"
BLOCK_BROADCAST_INFO,"Broadcasts signal A globally to any robot via radio waves.","Rozgłasza sygnał A globalnie do innych robotów przez fale radiowe."
BLOCK_SCANNER_TITLE,"Scanner","Skaner"
BLOCK_SCANNER_INFO,"Scans radio frequencies to receive signals from any robot.","Skanuje fale radiowe, by odebrać sygnał od dowolnego robota."
